
2024/01/23 (23:05:11) | ===> btop++ v.1.3.0
2024/01/23 (23:05:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/23 (23:05:17) | ===> btop++ v.1.3.0
2024/01/23 (23:05:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/23 (23:05:28) | ===> btop++ v.1.3.0
2024/01/23 (23:05:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/03 (17:49:49) | ===> btop++ v.1.3.0
2024/02/03 (17:49:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/15 (05:44:29) | ===> btop++ v.1.3.2
2024/02/15 (05:44:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/17 (00:08:28) | ===> btop++ v.1.3.2
2024/02/17 (00:08:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/17 (02:21:45) | ===> btop++ v.1.3.2
2024/02/17 (02:21:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/19 (21:40:07) | ===> btop++ v.1.3.2
2024/02/19 (21:40:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/19 (23:22:16) | ===> btop++ v.1.3.2
2024/02/19 (23:22:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/19 (23:25:18) | ===> btop++ v.1.3.2
2024/02/19 (23:25:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/20 (00:19:46) | ===> btop++ v.1.3.2
2024/02/20 (00:19:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/20 (19:56:51) | ===> btop++ v.1.3.2
2024/02/20 (19:56:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/20 (21:36:32) | ===> btop++ v.1.3.2
2024/02/20 (21:36:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/20 (21:39:17) | ERROR: Stall in Runner thread, restarting!

2024/02/22 (11:22:19) | ===> btop++ v.1.3.2
2024/02/22 (11:22:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/22 (18:03:41) | ===> btop++ v.1.3.2
2024/02/22 (18:03:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/23 (14:19:05) | ===> btop++ v.1.3.2
2024/02/23 (14:19:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/24 (18:20:36) | ===> btop++ v.1.3.2
2024/02/24 (18:20:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/24 (23:44:22) | ===> btop++ v.1.3.2
2024/02/24 (23:44:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/24 (23:44:34) | ===> btop++ v.1.3.2
2024/02/24 (23:44:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/26 (18:00:17) | ===> btop++ v.1.3.2
2024/02/26 (18:00:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/07 (16:29:07) | ===> btop++ v.1.3.2
2024/03/07 (16:29:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/07 (16:29:07) | WARNING: NVML: Failed to get GPU power usage: No data

2024/03/11 (16:40:33) | ===> btop++ v.1.3.2
2024/03/11 (16:40:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/11 (16:40:33) | WARNING: NVML: Failed to get GPU power usage: No data

2024/03/11 (16:53:35) | ===> btop++ v.1.3.2
2024/03/11 (16:53:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/11 (16:53:35) | WARNING: NVML: Failed to get GPU power usage: No data

2024/03/12 (17:56:25) | ===> btop++ v.1.3.2
2024/03/12 (17:56:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/12 (17:56:25) | WARNING: NVML: Failed to get GPU power usage: No data

2024/03/12 (23:17:53) | ===> btop++ v.1.3.2
2024/03/12 (23:17:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/12 (23:17:53) | WARNING: NVML: Failed to get GPU power usage: No data

2024/03/12 (23:20:34) | ===> btop++ v.1.3.2
2024/03/12 (23:20:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/12 (23:20:34) | WARNING: NVML: Failed to get GPU power usage: No data

2024/03/14 (15:04:24) | ===> btop++ v.1.3.2
2024/03/14 (15:04:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/14 (15:04:57) | ===> btop++ v.1.3.2
2024/03/14 (15:04:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/14 (15:04:57) | WARNING: NVML: Failed to get GPU power usage: No data

2024/03/14 (15:05:25) | ===> btop++ v.1.3.2
2024/03/14 (15:05:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/14 (15:05:25) | WARNING: NVML: Failed to get GPU power usage: No data

2024/03/15 (16:17:04) | ===> btop++ v.1.3.2
2024/03/15 (16:17:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/15 (16:17:04) | WARNING: NVML: Failed to get GPU power usage: No data

2024/03/15 (16:19:33) | ===> btop++ v.1.3.2
2024/03/15 (16:19:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/15 (16:19:33) | WARNING: NVML: Failed to get GPU power usage: No data

2024/03/15 (16:49:07) | ===> btop++ v.1.3.2
2024/03/15 (16:49:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/15 (16:50:07) | ===> btop++ v.1.3.2
2024/03/15 (16:50:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/16 (17:16:30) | ===> btop++ v.1.3.2
2024/03/16 (17:16:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/16 (17:16:30) | WARNING: NVML: Failed to get GPU power usage: No data

2024/03/17 (13:22:15) | ===> btop++ v.1.3.2
2024/03/17 (13:22:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/17 (20:54:47) | ===> btop++ v.1.3.2
2024/03/17 (20:54:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/18 (19:17:37) | ===> btop++ v.1.3.2
2024/03/18 (19:17:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/19 (12:10:49) | ===> btop++ v.1.3.2
2024/03/19 (12:10:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/19 (12:10:49) | WARNING: NVML: Failed to get GPU power usage: No data

2024/03/20 (17:21:05) | ===> btop++ v.1.3.2
2024/03/20 (17:21:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/23 (21:35:15) | ===> btop++ v.1.3.2
2024/03/23 (21:35:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/29 (18:35:14) | ===> btop++ v.1.3.2
2024/03/29 (18:35:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/03 (13:47:34) | ===> btop++ v.1.3.2
2024/04/03 (13:47:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/03 (17:22:13) | ===> btop++ v.1.3.2
2024/04/03 (17:22:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/03 (18:04:35) | ===> btop++ v.1.3.2
2024/04/03 (18:04:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/03 (18:06:22) | ===> btop++ v.1.3.2
2024/04/03 (18:06:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/04 (20:19:45) | ===> btop++ v.1.3.2
2024/04/04 (20:19:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/08 (16:40:30) | ===> btop++ v.1.3.2
2024/04/08 (16:40:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/15 (15:19:21) | ===> btop++ v.1.3.2
2024/04/15 (15:19:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/15 (17:28:35) | ===> btop++ v.1.3.2
2024/04/15 (17:28:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/15 (17:29:47) | ===> btop++ v.1.3.2
2024/04/15 (17:29:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/17 (21:19:08) | ===> btop++ v.1.3.2
2024/04/17 (21:19:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/19 (11:55:51) | ===> btop++ v.1.3.2
2024/04/19 (11:55:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/19 (11:56:27) | ===> btop++ v.1.3.2
2024/04/19 (11:56:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/19 (11:57:04) | ===> btop++ v.1.3.2
2024/04/19 (11:57:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/19 (11:57:14) | ===> btop++ v.1.3.2
2024/04/19 (11:57:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/19 (14:20:53) | ===> btop++ v.1.3.2
2024/04/19 (14:20:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/23 (11:05:04) | ===> btop++ v.1.3.2
2024/04/23 (11:05:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/23 (11:05:04) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/04/23 (11:05:04) | WARNING: NVML: Failed to get GPU clock speed: System is not in ready state
2024/04/23 (11:05:04) | WARNING: NVML: Failed to get VRAM clock speed: System is not in ready state
2024/04/23 (11:05:05) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/04/23 (11:05:07) | ===> btop++ v.1.3.2
2024/04/23 (11:05:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/23 (11:05:07) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/04/23 (11:05:07) | WARNING: NVML: Failed to get GPU clock speed: System is not in ready state
2024/04/23 (11:05:07) | WARNING: NVML: Failed to get VRAM clock speed: System is not in ready state

2024/04/24 (16:09:47) | ===> btop++ v.1.3.2
2024/04/24 (16:09:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/24 (16:09:47) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/04/24 (16:09:47) | WARNING: NVML: Failed to get GPU clock speed: System is not in ready state
2024/04/24 (16:09:47) | WARNING: NVML: Failed to get VRAM clock speed: System is not in ready state

2024/04/24 (16:09:55) | ===> btop++ v.1.3.2
2024/04/24 (16:09:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/24 (16:09:55) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/04/24 (16:09:55) | WARNING: NVML: Failed to get GPU clock speed: System is not in ready state
2024/04/24 (16:09:55) | WARNING: NVML: Failed to get VRAM clock speed: System is not in ready state

2024/04/25 (09:35:52) | ===> btop++ v.1.3.2
2024/04/25 (09:35:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/25 (09:35:52) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/04/25 (09:35:52) | WARNING: NVML: Failed to get GPU clock speed: System is not in ready state
2024/04/25 (09:35:52) | WARNING: NVML: Failed to get VRAM clock speed: System is not in ready state

2024/04/25 (09:37:41) | ===> btop++ v.1.3.2
2024/04/25 (09:37:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/25 (09:37:41) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/04/25 (09:37:41) | WARNING: NVML: Failed to get GPU clock speed: System is not in ready state
2024/04/25 (09:37:41) | WARNING: NVML: Failed to get VRAM clock speed: System is not in ready state

2024/04/25 (09:38:39) | ===> btop++ v.1.3.2
2024/04/25 (09:38:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/25 (09:38:39) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/04/25 (09:38:39) | WARNING: NVML: Failed to get GPU clock speed: System is not in ready state
2024/04/25 (09:38:39) | WARNING: NVML: Failed to get VRAM clock speed: System is not in ready state

2024/04/25 (09:55:04) | ===> btop++ v.1.3.2
2024/04/25 (09:55:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/25 (09:55:04) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/04/25 (09:55:04) | WARNING: NVML: Failed to get GPU clock speed: System is not in ready state
2024/04/25 (09:55:04) | WARNING: NVML: Failed to get VRAM clock speed: System is not in ready state

2024/04/25 (09:55:30) | ===> btop++ v.1.3.2
2024/04/25 (09:55:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/25 (09:55:30) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/04/25 (09:55:30) | WARNING: NVML: Failed to get GPU clock speed: System is not in ready state
2024/04/25 (09:55:30) | WARNING: NVML: Failed to get VRAM clock speed: System is not in ready state

2024/05/04 (23:25:41) | ===> btop++ v.1.3.2
2024/05/04 (23:25:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/04 (23:25:48) | ===> btop++ v.1.3.2
2024/05/04 (23:25:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/07 (15:27:24) | ===> btop++ v.1.3.2
2024/05/07 (15:27:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/07 (22:36:29) | ===> btop++ v.1.3.2
2024/05/07 (22:36:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/07 (23:08:46) | ===> btop++ v.1.3.2
2024/05/07 (23:08:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/07 (23:15:42) | ===> btop++ v.1.3.2
2024/05/07 (23:15:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/07 (23:16:05) | ===> btop++ v.1.3.2
2024/05/07 (23:16:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/14 (15:43:21) | ===> btop++ v.1.3.2
2024/05/14 (15:43:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/14 (19:42:18) | ===> btop++ v.1.3.2
2024/05/14 (19:42:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/15 (15:30:52) | ===> btop++ v.1.3.2
2024/05/15 (15:30:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/15 (15:31:03) | ===> btop++ v.1.3.2
2024/05/15 (15:31:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/15 (15:31:15) | ===> btop++ v.1.3.2
2024/05/15 (15:31:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/15 (17:52:46) | ===> btop++ v.1.3.2
2024/05/15 (17:52:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/16 (15:20:48) | ===> btop++ v.1.3.2
2024/05/16 (15:20:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/18 (16:10:31) | ===> btop++ v.1.3.2
2024/05/18 (16:10:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/19 (18:47:04) | ===> btop++ v.1.3.2
2024/05/19 (18:47:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/26 (20:38:23) | ===> btop++ v.1.3.2
2024/05/26 (20:38:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/28 (16:20:32) | ===> btop++ v.1.3.2
2024/05/28 (16:20:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/30 (16:49:05) | ===> btop++ v.1.3.2
2024/05/30 (16:49:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/30 (17:35:35) | ===> btop++ v.1.3.2
2024/05/30 (17:35:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/30 (18:04:20) | ===> btop++ v.1.3.2
2024/05/30 (18:04:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/01 (19:33:32) | ===> btop++ v.1.3.2
2024/06/01 (19:33:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/03 (15:23:55) | ===> btop++ v.1.3.2
2024/06/03 (15:23:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/05 (16:21:56) | ===> btop++ v.1.3.2
2024/06/05 (16:21:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/05 (17:24:36) | ===> btop++ v.1.3.2
2024/06/05 (17:24:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/05 (18:32:13) | ===> btop++ v.1.3.2
2024/06/05 (18:32:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/07 (18:27:45) | ===> btop++ v.1.3.2
2024/06/07 (18:27:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/08 (11:57:58) | ===> btop++ v.1.3.2
2024/06/08 (11:57:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/11 (11:23:45) | ===> btop++ v.1.3.2
2024/06/11 (11:23:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/11 (13:46:50) | ===> btop++ v.1.3.2
2024/06/11 (13:46:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/11 (13:47:20) | ===> btop++ v.1.3.2
2024/06/11 (13:47:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/11 (13:55:12) | ===> btop++ v.1.3.2
2024/06/11 (13:55:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/11 (15:08:08) | ===> btop++ v.1.3.2
2024/06/11 (15:08:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/11 (17:40:42) | ===> btop++ v.1.3.2
2024/06/11 (17:40:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/11 (20:51:52) | ===> btop++ v.1.3.2
2024/06/11 (20:51:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/13 (14:00:59) | ===> btop++ v.1.3.2
2024/06/13 (14:00:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/13 (17:56:24) | ===> btop++ v.1.3.2
2024/06/13 (17:56:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/13 (18:00:42) | ===> btop++ v.1.3.2
2024/06/13 (18:00:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/17 (23:22:55) | ===> btop++ v.1.3.2
2024/06/17 (23:22:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/25 (22:18:36) | ===> btop++ v.1.3.2
2024/06/25 (22:18:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/25 (22:22:11) | ===> btop++ v.1.3.2
2024/06/25 (22:22:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/27 (21:39:11) | ===> btop++ v.1.3.2
2024/06/27 (21:39:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/27 (21:42:58) | ===> btop++ v.1.3.2
2024/06/27 (21:42:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/27 (21:45:00) | ===> btop++ v.1.3.2
2024/06/27 (21:45:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/27 (21:46:20) | ===> btop++ v.1.3.2
2024/06/27 (21:46:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/28 (22:18:07) | ===> btop++ v.1.3.2
